1, 76, 75, 1, 139, 62, AG, 442, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_442_cl_t_20240610_021719.pdf
8, 457, 439, 13, 726, 266, AG, 327, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_327_cl_t_20240610_032340.pdf
6, 747, 720, 21, 1700, 953, AG, 147, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_147_cl_t_20240610_111117.pdf
5, 442, 405, 29, 673, 234, AG, 212, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_212_cl_t_20240610_033731.pdf
28, 303, 283, 20, 500, 169, AG, 325, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_325_cl_t_20240610_113501.pdf
20, 564, 521, 23, 793, 229, AG, 337, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_337_cl_t_20240610_120356.pdf
1, 432, 421, 10, 1300, 868, AG, 1, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_1_cl_t_20240610_020205.pdf
49, 151, 151, 0, 200, 0, AG, 432, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_432_cl_t_20240610_025430.pdf
2, 365, 353, 10, 560, 195, AG, 451, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_451_cl_t_20240610_033557.pdf
6, 623, 596, 21, 1700, 1077, AG, 55, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_55_cl_t_20240610_042712.pdf
